Identifier,Institution Name,Owner,Established Since,Address,Phone Number,Email,Website,Status,Condition,Institution Type,License Number,Tax Number,Village,Province Name,City Name,Sectors,Popular Vocationals
b773b405-ca1e-4bbe-b0a5-b3d5e53e8a74,LPK SANDANG JAYA,"H.MUSYARROFAH,SE",2004,"JL.DUYUNG 55A,RT.02/RW.01, KEL. DERMO, KEC. BANGIL, KAB. PASURUAN, JAWA TIMUR",08133208370,perkumsandangjaya@gmail.com,--,published,operational,LPK SWASTA,0404220051710001,801404161624000,Tambakan,JAWA TIMUR,KAB. PASURUAN,INDUSTRI PENGOLAHAN (MANUFAKTUR),"GARMEN APPAREL, TATA BUSANA"
12234413-d1c3-40af-8842-7dc4e1cc54aa,BLK KOMUNITAS DAARUL HASAN,ANJAR FAUJI,2023,KP. PUNCAKMULYA RT 03 RW 11 DESA CIHAWUK KECAMATAN KERTASARI KABUPATEN BANDUNG,081222287307,daarulhasan22@gmail.com,,published,new,BLK KOMUNITAS,Surat Pernyataan,270214760444000,Cihawuk,JAWA BARAT,KAB. BANDUNG,"PERKEBUNAN, PERTANIAN","PROCESSING, PERTANIAN"
d6e6c60c-599d-4e3f-b21d-b48a382b7182,LPK DWI JAYA SUKSES,MUHAMMAD ULUM,2024,"PERUMAHAN BUMI LINGGA HARA XI, NO M13 JL TANJUNG PURA RT 003 RW 005 KEL. KARANGANYAR KEC.INDRAMAYU KAB.INDRAMAYU PROVINSI.JAWA BARAT",085257835140,lpkdwijayasukses@gmail.com,,published,operational,LPK SWASTA,07082400847670001,139205876437000,Karanganyar,JAWA BARAT,KAB. INDRAMAYU,JASA,HOUSEKEEPING
7a52d992-ec81-4353-b37c-aab9e3e672ef,BLKK BADRUSSALAM,H SUWENDI,2023,JL SYEH NURJATI WANANTARA KUBANG TALUN CIREBON,089528975564,badrussalamblkkomunitas@gmail.com,,published,operational,BLK KOMUNITAS,null,055663306455000,Kubang,JAWA BARAT,KAB. CIREBON,"KOMUNIKASI, INDUSTRI PENGOLAHAN (MANUFAKTUR), JASA, PERDAGANGAN",TEKNOLOGI INFORMASI DAN KOMUNIKASI
1b9af275-1ed6-4295-90a7-488ddfc302bc,LPK TUJUH SEMBILAN JAYA,MUSLIM,2021,BLOK SOGA RT 002 RW 001 DESA TENAJAR KIDUL KEC. KERTASEMAYA KAB. INDRAMAYU,081298501773,lpktujuhsembilanjaya@gmail.com,,published,operational,LPK SWASTA,15022200422850007,631796034437000,Tenajar Kidul,JAWA BARAT,KAB. INDRAMAYU,JASA,BISNIS DAN MANAJEMEN
d942e54f-88c7-4ebf-ad40-aef8285d97ad,PT LEMBAGA PELATIHAN KERJA ERA BERKAH BERSAMA,RAMLI HASAN AL AMRI,2022,JALAN KRESEK NOMOR 57 KEL JATIMURNI KEC PONDOKMELATI KOTA BEKASI,+62 21 84344690,eraberkahbersama@gmail.com,,published,operational,LPK SWASTA,12102200247050003,613388172447000,Jatimurni,JAWA BARAT,KOTA BEKASI,JASA,BISNIS DAN MANAJEMEN
c19203a5-0a70-49ad-95ab-820864c468a2,LPK AYOEMI INDRAMAYU,AGUS PURNAMA,2021,"JL. BINARIA-BONDAN RT.001/RW.001 DESA TERSANA, KEC. SUKAGUMIWANG KAB. INDRAMAYU JAWA BARAT",081122220825,lpkayoemiindramayu@gmail.com,,published,operational,LPK SWASTA,15062200611190001,657845707437000,Tersana,JAWA BARAT,KAB. INDRAMAYU,KOMUNIKASI,"BISNIS DAN MANAJEMEN, BAHASA JEPANG"
5954ebf6-6eae-430f-861e-d0c834268301,LPK NIHONBASHI GAKUIN CENTER,ATIN AMALIA,2024,JL. RAYA SLEMAN RT/RW : 001/003 SLEMAN LOR KEC.SLIYEG KAB.INDRAMAYU,081943215591,ptnihonbashigakuin@gmail.com,https://sites.google.com/view/ptnihonbashi/program,published,operational,LPK SWASTA,13102300857290003,507096360437000,Majasih,JAWA BARAT,KAB. INDRAMAYU,JASA,BAHASA JEPANG
f92876ab-7e2c-45c8-98c9-963ffa48db88,LPK RYU GAKKOU,DEDE HERDIANTO,2024,JL. SIDODADI DUKUH KANTEN 1 DESA BABADAN KEC. BABADAN KAB. PONOROGO,081399961718,lpkryugakkou@gmail.com,,published,operational,LPK SWASTA,202405-3011-1803-0092-783,203645924647000,Kertosari,JAWA TIMUR,KAB. PONOROGO,JASA,BAHASA JEPANG
3f266988-981c-4125-8e9a-d5f0744cc2bc,PENDIDIKAN PELATIHAN DAN SOSIAL KOGAS NUSANTARA,ELLY ASTUTI,2013,DUSUN GEDANGAN RT.027 RW.007 DESA MOJORAYUNG KECAMATAN WUNGU KABUPATEN MADIUN,082230076544,kogasnusantaramadiun@gmail.com,,published,operational,LPK SWASTA,19092401679790001,018188953621000,Mojorayung,JAWA TIMUR,KAB. MADIUN,"JASA, KOMUNIKASI, PERIKANAN, PETERNAKAN, PERTANIAN",BAHASA JEPANG
